000001	Joe Figueroa	00001	3269	c	0.00
000002	Joe Figueroa	00001	3269	d	126000000.00
000003	Joe Figueroa	00001	3269	b	126000000.00
000004	Mia Startan	00002	1111	c	0.00
000005	Mia Startan	00002	1111	d	100000.00
000006	Mia Startan	00002	1111	b	100000.00
000007	Kendo Maximus	00003	2222	c	0.00
000008	Kendo Maximus	00003	2222	d	5632540.00
000009	Kendo Maximus	00003	2222	b	5632540.00
000010	Peluche Mushi	00004	1234	c	0.00
000011	Peluche Mushi	00004	1234	d	50200.00
000012	Peluche Mushi	00004	1234	b	50200.00
000013	Joe Figueroa	00001	3269	w	7000.00
000014	Joe Figueroa	00001	3269	b	125993000.00
000015	Papito Main	00006	9568	c	0.00
000016	Joe Figueroa	00001	3269	w	7000.00
000017	Joe Figueroa	00001	3269	b	125986000.00
000018	Mia Startan	00002	1111	d	100000.00
000019	Mia Startan	00002	1111	b	200000.00
000020	Kendo Maximus	00003	2222	d	10000.00
000021	Kendo Maximus	00003	2222	b	5642540.00
000022	Joe Figueroa	00001	3269	d	1000.00
000023	Joe Figueroa	00001	3269	b	125987000.00
000024	Jack Ripper	00007	0666	c	0.00
000025	Pedro Master	00008	2514	c	0.00
000026	Joe Figueroa	00001	3269	d	5623.33
000027	Joe Figueroa	00001	3269	b	125992623.33
000028	Joe Figueroa	00001	3269	d	118000.25
000029	Joe Figueroa	00001	3269	b	126110623.58
000030	Joe Figueroa	00001	3269	w	100000.25
000031	Joe Figueroa	00001	3269	b	126010623.33
000032	Joe Figueroa	00001	3269	d	2000.10
000033	Joe Figueroa	00001	3269	b	126012623.43
000034	Joe Figueroa	00001	3269	d	2000.10
000035	Joe Figueroa	00001	3269	b	126014623.53
000036	Joe Figueroa	00001	3269	w	3000.05
000037	Joe Figueroa	00001	3269	b	126011623.48
